Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
Brown University,28919,2654,1543,79,38,660,760,29,34,0,9,45612,60460,60460,Rhode Island,New England,Private,Midsize City,6455,6168,287,6,11,52,84,93,95,64,47,24,17
Bryan College-Dayton,1151,433,187,29,87,450,600,20,25,1,38,21150,31075,31075,Tennessee,Southeast,Private,Distant Town,1573,1129,444,5,1,56,54,61,62,91,88,39,39
Bryant University,6013,4603,890,72,13,510,590,23,27,0,77,37234,53598,53598,Rhode Island,New England,Private,Large Suburb,3287,3200,87,4,6,42,78,81,82,89,88,16,16
Bryn Athyn College of the New Church,396,205,81,95,11,460,580,20,25,29,52,17724,29734,29734,Pennsylvania,Mid East,Private,Large Suburb,270,262,8,14,6,52,6,6,49,100,100,39,39
Bryn Mawr College,2708,1081,365,79,31,600,710,27,32,0,40,43900,59760,59760,Pennsylvania,Mid East,Private,Large Suburb,1328,1315,13,5,9,100,81,84,84,79,76,16,16
Bucknell University,7947,2345,933,68,32,580,680,27,32,0,30,46902,61060,61060,Pennsylvania,Mid East,Private,Distant Town,3532,3504,28,3,5,52,87,91,91,55,50,11,11
Butler University,9357,6185,1015,56,79,530,630,25,30,2,66,34368,49698,49698,Indiana,Great Lakes,Private,Large City,4051,3974,77,4,3,61,51,64,74,94,93,17,17
Cabrini College,2127,1580,304,100,10,390,500,17,23,0,74,29000,45322,45322,Pennsylvania,Mid East,Private,Large Suburb,1337,1228,109,13,5,64,39,45,46,99,99,44,44
Cairn University-Langhorne,610,313,155,97,10,443,588,18,26,0,51,22455,34090,34090,Pennsylvania,Mid East,Private,Large Suburb,844,779,65,15,5,54,24,63,68,100,100,43,43
Caldwell College,2984,1912,330,95,19,410,520,16,25,0,64,29000,43800,43800,New Jersey,Mid East,Private,Large Suburb,1578,1303,275,5,6,69,35,53,53,98,97,51,51
California Baptist University,3853,3036,993,82,44,430,550,18,24,0,79,28122,42228,42228,California,Far West,Private,Large City,5797,5086,711,8,30,64,41,54,58,95,93,46,46
California Institute of Technology,5535,584,249,88,43,720,800,33,35,0,11,41538,58755,58755,California,Far West,Private,Midsize City,977,977,0,2,10,37,82,90,93,73,54,14,10
California Lutheran University,6920,3323,540,84,42,500,590,22,26,0,48,35720,52577,52577,California,Far West,Private,Midsize City,2888,2717,171,4,25,55,61,69,70,98,98,23,23
California Maritime Academy,893,668,198,86,46,470,580,21,26,0,75,6536,21102,32262,California,Far West,Public,Midsize City,1045,1008,37,2,16,14,43,57,59,68,43,26,26
California Polytechnic State University-San Luis Obispo,36941,11537,3635,88,62,550,650,25,30,0,31,8724,24285,35445,California,Far West,Public,Small Suburb,18739,18058,681,1,15,45,29,61,70,50,41,14,14
California State Polytechnic University-Pomona,28143,14686,3120,95,27,460,570,20,26,0,52,6350,22571,33731,California,Far West,Public,Large Suburb,20952,18410,2542,3,37,43,10,34,52,68,53,43,43
California State University-Bakersfield,6630,4393,1328,90,24,390,500,15,22,0,66,6775,21186,32346,California,Far West,Public,Large City,7350,6519,831,6,49,61,15,32,39,81,74,64,64
California State University-Channel Islands,6960,4484,756,90,24,430,530,17,23,0,64,6471,25007,36167,California,Far West,Public,Midsize Suburb,4963,4281,682,2,41,64,21,46,52,70,54,45,45
California State University-Chico,17215,12327,2714,90,36,450,550,19,24,0,72,6972,22362,33522,California,Far West,Public,Small City,15290,14207,1083,2,23,52,17,47,56,63,46,37,36
California State University-Dominguez Hills,14742,8472,1214,80,21,380,470,15,19,0,57,6100,21286,32446,California,Far West,Public,Small City,12481,8574,3907,17,53,64,4,16,29,88,78,74,74
California State University-East Bay,12741,8756,1572,91,32,400,500,16,22,0,69,6550,22312,33472,California,Far West,Public,Midsize City,12146,10546,1600,11,25,61,11,30,38,75,62,54,54
California State University-Fresno,16242,9444,3139,89,39,400,510,16,22,0,58,6287,20682,31842,California,Far West,Public,Large City,20295,17571,2724,4,42,57,14,36,49,80,72,62,62
California State University-Fullerton,38909,17817,4526,95,34,450,550,19,24,0,46,6186,23505,34665,California,Far West,Public,Large Suburb,33116,26682,6434,2,37,55,14,40,53,66,51,41,41
California State University-Long Beach,55019,16956,4276,95,33,440,550,18,24,0,31,6240,22106,33266,California,Far West,Public,Large City,30593,25815,4778,4,37,57,14,43,60,71,58,49,49
California State University-Los Angeles,27321,18448,2908,95,32,380,480,15,20,0,68,6344,21705,32865,California,Far West,Public,Large City,19589,16280,3309,5,60,59,7,22,36,82,76,72,72
